WeekBeginning,Location,DateOfSample
2018-10-01,Belfast,2018-10-01
2018-10-01,Carlingford,2018-10-02
2018-10-01,Foyle,2018-10-02
2018-10-01,Strangford,2018-10-02
2018-10-08,Belfast ,2018-10-08
2018-10-08,Dundrum and Killough,2018-10-08
2018-10-08,Larne,2018-10-09
2018-10-15,Belfast,2018-10-15
2018-10-15,Carlingford,2018-10-16
2018-10-15,Foyle,2018-10-16
2018-10-22,Belfast,2018-10-22
2018-10-22,Dundrum and Killough,2018-10-22
2018-10-22,Strangford,2018-10-22
2018-10-22,Larne,2018-10-23
2018-10-29,Belfast,2018-10-29
2018-10-29,Dundrum and Killough,2018-10-29
2018-10-29,Carlingford,2018-10-31
2018-11-05,Belfast,2018-11-05
2018-11-05,Strangford,2018-11-05
2018-11-05,Foyle,2018-11-06
2018-11-05,Larne,2018-11-06
2018-11-12,Belfast,2018-11-12
2018-11-12,Dundrum and Killough,2018-11-12
2018-11-12,Carlingford,2018-11-13
2018-11-12,Larne,2018-11-13
2018-11-19,Belfast,2018-11-19
2018-11-19,Strangford,2018-11-19
2018-11-26,Belfast,2018-11-26
2018-11-26,Dundrum and Killough,2018-11-26
2018-11-26,Carlingford,2018-11-27
2018-11-26,Foyle,2018-11-27
2018-11-26,Larne,2018-11-27
2018-12-03,Belfast,2018-12-03
2018-12-03,Foyle,2018-12-04
2018-12-03,Strangford,2018-12-04
2018-12-10,Belfast,2018-12-10
2018-12-10,Dundrum and Killough,2018-12-10
2018-12-10,Carlingford,2018-12-11
2018-12-10,Larne,2018-12-11
2018-12-17,Belfast,2018-12-17
2018-12-17,Strangford,2018-12-17
2018-12-17,Foyle,2018-12-18
2018-12-24,No Testing,
2018-12-31,Belfast,2018-12-31
2018-12-31,Dundrum and Killough,2019-01-02
2018-12-31,Strangford,2019-01-02
2018-12-31,Carlingford,2019-01-03
2019-01-07,Belfast,2019-01-07
2019-01-07,Larne,2019-01-08
2019-01-14,Belfast,2019-01-14
2019-01-14,Strangford,2019-01-14
2019-01-14,Carlingford,2019-01-15
2019-01-14,Foyle,2019-01-15
2019-01-21,Belfast,2019-01-21
2019-01-21,Dundrum and Killough,2019-01-21
2019-01-21,Larne,2019-01-22
2019-01-28,Belfast,2019-01-28
2019-01-28,Carlingford,2019-01-29
2019-01-28,Foyle,2019-01-29
2019-01-28,Strangford,2019-01-29
2019-02-04,Belfast,2019-02-04
2019-02-04,Dundrum and Killough,2019-02-04
2019-02-04,Strangford,2019-02-04
2019-02-04,Larne,2019-02-05
2019-02-11,Belfast,2019-02-11
2019-02-11,Carlingford,2019-02-12
2019-02-11,Foyle,2019-02-12
2019-02-18,Belfast,2019-02-18
2019-02-18,Dundrum and Killough,2019-02-18
2019-02-18,Strangford,2019-02-18
2019-02-18,Larne,2019-02-19
2019-02-25,Belfast,2019-02-25
2019-02-25,Carlingford,2019-02-26
2019-02-25,Foyle,2019-02-26
2019-03-04,Belfast,2019-03-04
2019-03-04,Dundrum and Killough,2019-03-04
2019-03-04,Strangford,2019-03-04
2019-03-04,Larne,2019-03-05
2019-03-11,Belfast,2019-03-11
2019-03-11,Carlingford,2019-03-12
2019-03-11,Foyle,2019-03-12
2019-03-18,Belfast,2019-03-19
2019-03-18,Dundrum and Killough,2019-03-19
2019-03-18,Strangford,2019-03-19
2019-03-18,Larne,2019-03-20
2019-03-25,Belfast,2019-03-25
2019-03-25,Carlingford,2019-03-26
2019-03-25,Foyle,2019-03-26
